Cidade-Uf,mes/ano,chs
CAMPINAS-SP,01/08/2022,"78,30%"
SAO LUIS-MA,01/08/2022,"39,20%"
SAO GONCALO-RJ,01/08/2022,"59,30%"
MACEIO-AL,01/08/2022,"59,70%"
DUQUE DE CAXIAS-RJ,01/08/2022,"48,20%"
NATAL-RN,01/08/2022,"52,10%"
TERESINA-PI,01/08/2022,"43,70%"
NOVA IGUACU-RJ,01/08/2022,"56,70%"
CAMPO GRANDE-MS,01/08/2022,"73,90%"
JOAO PESSOA-PB,01/08/2022,"68,50%"
SAO BERNARDO DO CAMPO-SP,01/08/2022,"70,20%"
OSASCO-SP,01/08/2022,"77,60%"
SANTO ANDRE-SP,01/08/2022,"89,40%"
JABOATAO DOS GUARARAPES-PE,01/08/2022,"48,30%"
SAO JOSE DOS CAMPOS-SP,01/08/2022,"70,00%"
CONTAGEM-MG,01/08/2022,"87,70%"
RIBEIRAO PRETO-SP,01/08/2022,"80,90%"
UBERLANDIA-MG,01/08/2022,"72,20%"
SOROCABA-SP,01/08/2022,"77,70%"
ARACAJU-SE,01/08/2022,"67,10%"
CUIABA-MT,01/08/2022,"64,00%"
FEIRA DE SANTANA-BA,01/08/2022,"48,60%"
JUIZ DE FORA-MG,01/08/2022,"68,80%"
JOINVILLE-SC,01/08/2022,"56,70%"
LONDRINA-PR,01/08/2022,"71,70%"
BELFORD ROXO-RJ,01/08/2022,"60,50%"
ANANINDEUA-PA,01/08/2022,"67,10%"
SAO JOAO DE MERITI-RJ,01/08/2022,"82,70%"
APARECIDA DE GOIANIA-GO,01/08/2022,"77,00%"
NITEROI-RJ,01/08/2022,"84,10%"
CAMPOS DOS GOYTACAZES-RJ,01/08/2022,"49,20%"
CAXIAS DO SUL-RS,01/08/2022,"67,20%"
MAUA-SP,01/08/2022,"67,90%"
FLORIANOPOLIS-SC,01/08/2022,"87,80%"
VILA VELHA-ES,01/08/2022,"76,70%"
SANTOS-SP,01/08/2022,"69,70%"
SAO JOSE DO RIO PRETO-SP,01/08/2022,"84,50%"
PORTO VELHO-RO,01/08/2022,"54,80%"
SERRA-ES,01/08/2022,"60,20%"
DIADEMA-SP,01/08/2022,"82,70%"
OLINDA-PE,01/08/2022,"72,60%"
MACAPA-AP,01/08/2022,"28,70%"
BETIM-MG,01/08/2022,"55,80%"
CAMPINA GRANDE-PB,01/08/2022,"62,00%"
MOGI DAS CRUZES-SP,01/08/2022,"71,20%"
CARAPICUIBA-SP,01/08/2022,"86,10%"
PIRACICABA-SP,01/08/2022,"65,90%"
MONTES CLAROS-MG,01/08/2022,"64,90%"
JUNDIAI-SP,01/08/2022,"75,60%"
MARINGA-PR,01/08/2022,"82,70%"
CARIACICA-ES,01/08/2022,"54,80%"
BAURU-SP,01/08/2022,"68,80%"
ANAPOLIS-GO,01/08/2022,"70,90%"
RIO BRANCO-AC,01/08/2022,"59,60%"
CANOAS-RS,01/08/2022,"85,90%"
SAO VICENTE-SP,01/08/2022,"56,10%"
VITORIA-ES,01/08/2022,"72,50%"
PELOTAS-RS,01/08/2022,"65,30%"
FRANCA-SP,01/08/2022,"61,00%"
ITAQUAQUECETUBA-SP,01/08/2022,"63,60%"
BLUMENAU-SC,01/08/2022,"68,00%"
PONTA GROSSA-PR,01/08/2022,"70,10%"
CARUARU-PE,01/08/2022,"55,30%"
CAUCAIA-CE,01/08/2022,"28,80%"
RIBEIRAO DAS NEVES-MG,01/08/2022,"60,10%"
VITORIA DA CONQUISTA-BA,01/08/2022,"52,60%"
PAULISTA-PE,01/08/2022,"61,00%"
PETROPOLIS-RJ,01/08/2022,"61,00%"
GUARUJA-SP,01/08/2022,"55,10%"
UBERABA-MG,01/08/2022,"78,90%"
PETROLINA-PE,01/08/2022,"34,90%"
BOA VISTA-RR,01/08/2022,"50,80%"
TAUBATE-SP,01/08/2022,"83,40%"
CASCAVEL-PR,01/08/2022,"68,70%"
SANTAREM-PA,01/08/2022,"57,90%"
LIMEIRA-SP,01/08/2022,"70,00%"
SUZANO-SP,01/08/2022,"69,30%"
SAO JOSE DOS PINHAIS-PR,01/08/2022,"65,60%"
PRAIA GRANDE-SP,01/08/2022,"82,50%"
GOVERNADOR VALADARES-MG,01/08/2022,"60,00%"
VOLTA REDONDA-RJ,01/08/2022,"65,70%"
GRAVATAI-RS,01/08/2022,"74,70%"
MOSSORO-RN,01/08/2022,"59,90%"
SANTA MARIA-RS,01/08/2022,"60,00%"
FOZ DO IGUACU-PR,01/08/2022,"67,30%"
VARZEA GRANDE-MT,01/08/2022,"62,00%"
NOVO HAMBURGO-RS,01/08/2022,"73,60%"
IMPERATRIZ-MA,01/08/2022,"60,10%"
JUAZEIRO DO NORTE-CE,01/08/2022,"61,60%"
SUMARE-SP,01/08/2022,"85,30%"
BARUERI-SP,01/08/2022,"73,70%"
IPATINGA-MG,01/08/2022,"69,10%"
CAMACARI-BA,01/08/2022,"34,60%"
VIAMAO-RS,01/08/2022,"53,40%"
EMBU DAS ARTES-SP,01/08/2022,"64,70%"
ITABORAI-RJ,01/08/2022,"26,70%"
TABOAO DA SERRA-SP,01/08/2022,"75,40%"
MAGE-RJ,01/08/2022,"28,10%"
MARABA-PA,01/08/2022,"25,40%"
PALMAS-TO,01/08/2022,"47,40%"
SAO CARLOS-SP,01/08/2022,"75,60%"
COLOMBO-PR,01/08/2022,"68,70%"
ARAPIRACA-AL,01/08/2022,"69,40%"
MARILIA-SP,01/08/2022,"69,00%"
SETE LAGOAS-MG,01/08/2022,"76,20%"
SAO LEOPOLDO-RS,01/08/2022,"79,20%"
DIVINOPOLIS-MG,01/08/2022,"81,50%"
MARACANAU-CE,01/08/2022,"49,90%"
AMERICANA-SP,01/08/2022,"88,50%"
JACAREI-SP,01/08/2022,"64,00%"
ITAPEVI-SP,01/08/2022,"70,70%"
PARNAMIRIM-RN,01/08/2022,"61,40%"
PRESIDENTE PRUDENTE-SP,01/08/2022,"73,80%"
ARARAQUARA-SP,01/08/2022,"69,20%"
MACAE-RJ,01/08/2022,"42,60%"
ITABUNA-BA,01/08/2022,"33,70%"
SAO JOSE-SC,01/08/2022,"97,00%"
SANTA LUZIA-MG,01/08/2022,"63,60%"
INDAIATUBA-SP,01/08/2022,"69,50%"
ALVORADA-RS,01/08/2022,"63,10%"
COTIA-SP,01/08/2022,"72,20%"
JUAZEIRO-BA,01/08/2022,"38,70%"
HORTOLANDIA-SP,01/08/2022,"85,90%"
RIO GRANDE-RS,01/08/2022,"52,80%"
DOURADOS-MS,01/08/2022,"70,70%"
CRICIUMA-SC,01/08/2022,"74,40%"
RONDONOPOLIS-MT,01/08/2022,"70,70%"
CACHOEIRO DE ITAPEMIRIM-ES,01/08/2022,"70,40%"
CABO FRIO-RJ,01/08/2022,"59,40%"
RIO CLARO-SP,01/08/2022,"61,50%"
SOBRAL-CE,01/08/2022,"53,10%"
SANTA BARBARA DOESTE-SP,01/08/2022,"78,80%"
PASSO FUNDO-RS,01/08/2022,"78,20%"
ARACATUBA-SP,01/08/2022,"83,50%"
CHAPECO-SC,01/08/2022,"59,20%"
ITAJAI-SC,01/08/2022,"78,60%"
ILHEUS-BA,01/08/2022,"51,90%"
CABO DE SANTO AGOSTINHO-PE,01/08/2022,"44,20%"
MESQUITA-RJ,01/08/2022,"90,20%"
FERRAZ DE VASCONCELOS-SP,01/08/2022,"80,90%"
NOVA FRIBURGO-RJ,01/08/2022,"42,70%"
BARRA MANSA-RJ,01/08/2022,"50,20%"
LAURO DE FREITAS-BA,01/08/2022,"75,30%"
CASTANHAL-PA,01/08/2022,"56,20%"
RIO VERDE-GO,01/08/2022,"70,40%"
IBIRITE-MG,01/08/2022,"75,80%"
ANGRA DOS REIS-RJ,01/08/2022,"36,70%"
LUZIANIA-GO,01/08/2022,"39,70%"
GUARAPUAVA-PR,01/08/2022,"53,60%"
FRANCISCO MORATO-SP,01/08/2022,"48,80%"
NOSSA SENHORA DO SOCORRO-SE,01/08/2022,"44,00%"
AGUAS LINDAS DE GOIAS-GO,01/08/2022,"50,10%"
CAMARAGIBE-PE,01/08/2022,"54,00%"
TERESOPOLIS-RJ,01/08/2022,"60,70%"
LAGES-SC,01/08/2022,"50,20%"
ITU-SP,01/08/2022,"61,50%"
PARAUAPEBAS-PA,01/08/2022,"52,30%"
POCOS DE CALDAS-MG,01/08/2022,"66,50%"
TIMON-MA,01/08/2022,"33,70%"
NILOPOLIS-RJ,01/08/2022,"83,80%"
JEQUIE-BA,01/08/2022,"22,70%"
CAXIAS-MA,01/08/2022,"51,90%"
SAO JOSE DE RIBAMAR-MA,01/08/2022,"60,00%"
PINDAMONHANGABA-SP,01/08/2022,"39,30%"
BRAGANCA PAULISTA-SP,01/08/2022,"63,50%"
PARNAIBA-PI,01/08/2022,"33,30%"
SAO CAETANO DO SUL-SP,01/08/2022,"99,40%"
QUEIMADOS-RJ,01/08/2022,"40,50%"
ITAPETININGA-SP,01/08/2022,"65,70%"
PARANAGUA-PR,01/08/2022,"68,20%"
JARAGUA DO SUL-SC,01/08/2022,"63,40%"
LINHARES-ES,01/08/2022,"46,20%"
PALHOCA-SC,01/08/2022,"86,80%"
TEIXEIRA DE FREITAS-BA,01/08/2022,"60,70%"
VALPARAISO DE GOIAS-GO,01/08/2022,"93,80%"
PATOS DE MINAS-MG,01/08/2022,"77,20%"
ALAGOINHAS-BA,01/08/2022,"61,30%"
MOGI GUACU-SP,01/08/2022,"79,90%"
ITAPECERICA DA SERRA-SP,01/08/2022,"40,20%"
ABAETETUBA-PA,01/08/2022,"8,30%"
ARAGUAINA-TO,01/08/2022,"25,10%"
TEOFILO OTONI-MG,01/08/2022,"44,20%"
SAPUCAIA DO SUL-RS,01/08/2022,"70,00%"
JAU-SP,01/08/2022,"47,20%"
BARREIRAS-BA,01/08/2022,"60,10%"
POUSO ALEGRE-MG,01/08/2022,"46,20%"
VITORIA DE SANTO ANTAO-PE,01/08/2022,"52,40%"
MARICA-RJ,01/08/2022,"78,00%"
BOTUCATU-SP,01/08/2022,"77,20%"
BARBACENA-MG,01/08/2022,"34,90%"
GARANHUNS-PE,01/08/2022,"60,50%"
ATIBAIA-SP,01/08/2022,"73,90%"
PORTO SEGURO-BA,01/08/2022,"44,90%"
VARGINHA-MG,01/08/2022,"74,00%"
URUGUAIANA-RS,01/08/2022,"39,40%"
APUCARANA-PR,01/08/2022,"74,10%"
CUBATAO-SP,01/08/2022,"18,80%"
SANTA RITA-PB,01/08/2022,"17,00%"
RESENDE-RJ,01/08/2022,"59,50%"
ARAUCARIA-PR,01/08/2022,"66,20%"
ARARAS-SP,01/08/2022,"57,10%"
CRATO-CE,01/08/2022,"32,00%"
PINHAIS-PR,01/08/2022,"93,80%"
CACHOEIRINHA-RS,01/08/2022,"76,20%"
SABARA-MG,01/08/2022,"46,60%"
SANTA CRUZ DO SUL-RS,01/08/2022,"44,70%"
CONSELHEIRO LAFAIETE-MG,01/08/2022,"76,50%"
SIMOES FILHO-BA,01/08/2022,"21,80%"
CAMETA-PA,01/08/2022,"4,80%"
BAGE-RS,01/08/2022,"34,30%"
TOLEDO-PR,01/08/2022,"54,00%"
FRANCO DA ROCHA-SP,01/08/2022,"63,80%"
CATANDUVA-SP,01/08/2022,"78,10%"
VARZEA PAULISTA-SP,01/08/2022,"73,70%"
SANTANA DE PARNAIBA-SP,01/08/2022,"76,20%"
GUARATINGUETA-SP,01/08/2022,"79,80%"
ITAPIPOCA-CE,01/08/2022,"14,80%"
BARRETOS-SP,01/08/2022,"80,70%"
MARITUBA-PA,01/08/2022,"26,80%"
SERTAOZINHO-SP,01/08/2022,"58,20%"
BAYEUX-PB,01/08/2022,"33,00%"
SINOP-MT,01/08/2022,"79,70%"
VOTORANTIM-SP,01/08/2022,"80,80%"
CODO-MA,01/08/2022,"13,70%"
ITAGUAI-RJ,01/08/2022,"31,30%"
JI PARANA-RO,01/08/2022,"48,40%"
MARANGUAPE-CE,01/08/2022,"14,50%"
ITABIRA-MG,01/08/2022,"43,30%"
BIRIGUI-SP,01/08/2022,"55,80%"
ARARUAMA-RJ,01/08/2022,"49,50%"
BRAGANCA-PA,01/08/2022,"15,50%"
CAMPO LARGO-PR,01/08/2022,"65,70%"
PACO DO LUMIAR-MA,01/08/2022,"27,40%"
ARAGUARI-MG,01/08/2022,"50,60%"
SALTO-SP,01/08/2022,"70,60%"
VESPASIANO-MG,01/08/2022,"57,30%"
SAO MATEUS-ES,01/08/2022,"33,10%"
PASSOS-MG,01/08/2022,"41,90%"
VALINHOS-SP,01/08/2022,"85,60%"
TATUI-SP,01/08/2022,"72,20%"
ALMIRANTE TAMANDARE-PR,01/08/2022,"50,80%"
RIO DAS OSTRAS-RJ,01/08/2022,"66,60%"
CORONEL FABRICIANO-MG,01/08/2022,"43,70%"
BRUSQUE-SC,01/08/2022,"33,90%"
COLATINA-ES,01/08/2022,"30,70%"
BENTO GONCALVES-RS,01/08/2022,"76,10%"
TRINDADE-GO,01/08/2022,"51,90%"
RIBEIRAO PIRES-SP,01/08/2022,"65,10%"
ARAPONGAS-PR,01/08/2022,"85,10%"
PAULO AFONSO-BA,01/08/2022,"39,90%"
POA-SP,01/08/2022,"95,60%"
GUARAPARI-ES,01/08/2022,"77,90%"
CARAGUATATUBA-SP,01/08/2022,"80,90%"
OURINHOS-SP,01/08/2022,"57,70%"
BALNEARIO CAMBORIU-SC,01/08/2022,"97,80%"
SANTANA-AP,01/08/2022,"12,10%"
ITATIBA-SP,01/08/2022,"56,50%"
BARCARENA-PA,01/08/2022,"8,10%"
UMUARAMA-PR,01/08/2022,"59,00%"
PATOS-PB,01/08/2022,"43,60%"
MURIAE-MG,01/08/2022,"56,60%"
IGARASSU-PE,01/08/2022,"38,10%"
UBA-MG,01/08/2022,"69,40%"
NOVO GAMA-GO,01/08/2022,"34,40%"
ACAILANDIA-MA,01/08/2022,"10,70%"
TRES LAGOAS-MS,01/08/2022,"50,50%"
EUNAPOLIS-BA,01/08/2022,"35,00%"
FORMOSA-GO,01/08/2022,"45,80%"
CORUMBA-MS,01/08/2022,"44,60%"
SAO LOURENCO DA MATA-PE,01/08/2022,"24,40%"
JAPERI-RJ,01/08/2022,"13,30%"
TUBARAO-SC,01/08/2022,"68,00%"
CAMBE-PR,01/08/2022,"64,80%"
ABREU E LIMA-PE,01/08/2022,"29,50%"
GUAIBA-RS,01/08/2022,"22,90%"
BACABAL-MA,01/08/2022,"30,10%"
ERECHIM-RS,01/08/2022,"34,40%"
PARINTINS-AM,01/08/2022,"3,80%"
ITUIUTABA-MG,01/08/2022,"49,00%"
JANDIRA-SP,01/08/2022,"72,00%"
ASSIS-SP,01/08/2022,"72,30%"
TUCURUI-PA,01/08/2022,"6,00%"
CAIEIRAS-SP,01/08/2022,"65,20%"
ARAXA-MG,01/08/2022,"47,30%"
LAVRAS-MG,01/08/2022,"43,50%"
BARRA DO PIRAI-RJ,01/08/2022,"12,90%"
IGUATU-CE,01/08/2022,"25,50%"
SANTA CRUZ DO CAPIBARIBE-PE,01/08/2022,"9,10%"
ITAPERUNA-RJ,01/08/2022,"75,30%"
ALTAMIRA-PA,01/08/2022,"38,20%"
LEME-SP,01/08/2022,"50,00%"
LAGARTO-SE,01/08/2022,"17,20%"
ITUMBIARA-GO,01/08/2022,"54,00%"
PARAGOMINAS-PA,01/08/2022,"34,80%"
SANTO ANTONIO DE JESUS-BA,01/08/2022,"47,30%"
ITAJUBA-MG,01/08/2022,"45,00%"
ITAITUBA-PA,01/08/2022,"3,80%"
PIRAQUARA-PR,01/08/2022,"65,30%"
ITANHAEM-SP,01/08/2022,"77,30%"
SAO GONCALO DO AMARANTE-RN,01/08/2022,"33,40%"
ITAPEVA-SP,01/08/2022,"45,50%"
CAMPO MOURAO-PR,01/08/2022,"66,30%"
SARANDI-PR,01/08/2022,"80,00%"
SAO PEDRO DA ALDEIA-RJ,01/08/2022,"65,40%"
SENADOR CANEDO-GO,01/08/2022,"58,10%"
ITABAIANA-SE,01/08/2022,"16,10%"
ITAUNA-MG,01/08/2022,"35,20%"
CATALAO-GO,01/08/2022,"58,90%"
ARIQUEMES-RO,01/08/2022,"45,20%"
VOTUPORANGA-SP,01/08/2022,"44,80%"
CACAPAVA-SP,01/08/2022,"41,30%"
JATAI-GO,01/08/2022,"54,20%"
VALENCA-BA,01/08/2022,"21,40%"
MOGI MIRIM-SP,01/08/2022,"66,50%"
SAO JOAO DA BOA VISTA-SP,01/08/2022,"58,60%"
PAULINIA-SP,01/08/2022,"79,60%"
SAO JOAO DEL REI-MG,01/08/2022,"54,20%"
ITACOATIARA-AM,01/08/2022,"1,90%"
LORENA-SP,01/08/2022,"58,80%"
ESTEIO-RS,01/08/2022,"77,00%"
TIMOTEO-MG,01/08/2022,"48,80%"
FAZENDA RIO GRANDE-PR,01/08/2022,"73,60%"
PARA DE MINAS-MG,01/08/2022,"55,80%"
MAIRIPORA-SP,01/08/2022,"31,80%"
CANDEIAS-BA,01/08/2022,"24,80%"
BREVES-PA,01/08/2022,"1,70%"
TANGARA DA SERRA-MT,01/08/2022,"31,80%"
PARANAVAI-PR,01/08/2022,"66,40%"
CARATINGA-MG,01/08/2022,"29,10%"
AVARE-SP,01/08/2022,"40,10%"
CACERES-MT,01/08/2022,"16,20%"
PARACATU-MG,01/08/2022,"39,80%"
SANTANA DO LIVRAMENTO-RS,01/08/2022,"17,00%"
NOVA LIMA-MG,01/08/2022,"42,30%"
CACHOEIRA DO SUL-RS,01/08/2022,"13,20%"
UBATUBA-SP,01/08/2022,"67,70%"
SAO ROQUE-SP,01/08/2022,"65,20%"
ARACRUZ-ES,01/08/2022,"24,70%"
SAO CRISTOVAO-SE,01/08/2022,"31,40%"
PATROCINIO-MG,01/08/2022,"34,10%"
IPOJUCA-PE,01/08/2022,"16,80%"
SEROPEDICA-RJ,01/08/2022,"18,90%"
PLANALTINA-GO,01/08/2022,"31,60%"
CRUZEIRO-SP,01/08/2022,"36,30%"
IJUI-RS,01/08/2022,"29,00%"
TRES RIOS-RJ,01/08/2022,"17,20%"
BARRA DO CORDA-MA,01/08/2022,"3,50%"
MANHUACU-MG,01/08/2022,"25,90%"
MATAO-SP,01/08/2022,"31,40%"
ARUJA-SP,01/08/2022,"60,70%"
SERRA TALHADA-PE,01/08/2022,"20,20%"
GURUPI-TO,01/08/2022,"15,20%"
ARARIPINA-PE,01/08/2022,"10,30%"
FRANCISCO BELTRAO-PR,01/08/2022,"23,80%"
QUIXADA-CE,01/08/2022,"52,00%"
GUANAMBI-BA,01/08/2022,"55,20%"
SAPIRANGA-RS,01/08/2022,"36,60%"
SANTO ANGELO-RS,01/08/2022,"28,20%"
JACOBINA-BA,01/08/2022,"29,90%"
PINHEIRO-MA,01/08/2022,"2,30%"
CARPINA-PE,01/08/2022,"31,30%"
CAMPO LIMPO PAULISTA-SP,01/08/2022,"45,00%"
JOAO MONLEVADE-MG,01/08/2022,"64,00%"
CACOAL-RO,01/08/2022,"26,80%"
BEBEDOURO-SP,01/08/2022,"45,90%"
VILHENA-RO,01/08/2022,"20,10%"
GRAVATA-PE,01/08/2022,"30,50%"
PACATUBA-CE,01/08/2022,"49,70%"
SERRINHA-BA,01/08/2022,"45,80%"
CANINDE-CE,01/08/2022,"16,60%"
LAJEADO-RS,01/08/2022,"54,90%"
SAO BENTO DO SUL-SC,01/08/2022,"13,50%"
ALFENAS-MG,01/08/2022,"33,60%"
GOIANA-PE,01/08/2022,"14,40%"
ALEGRETE-RS,01/08/2022,"17,40%"
NOVA SERRANA-MG,01/08/2022,"34,10%"
PONTA PORA-MS,01/08/2022,"30,70%"
PATO BRANCO-PR,01/08/2022,"41,70%"
VICOSA-MG,01/08/2022,"73,90%"
CRUZEIRO DO SUL-AC,01/08/2022,"10,20%"
SAO SEBASTIAO-SP,01/08/2022,"38,70%"
TRES CORACOES-MG,01/08/2022,"27,00%"
SAQUAREMA-RJ,01/08/2022,"41,00%"
PICOS-PI,01/08/2022,"19,70%"
LINS-SP,01/08/2022,"44,90%"
JABOTICABAL-SP,01/08/2022,"40,30%"
CURVELO-MG,01/08/2022,"36,50%"
REDENCAO-PA,01/08/2022,"11,50%"
TELEMACO BORBA-PR,01/08/2022,"29,60%"
UNAI-MG,01/08/2022,"58,80%"
CACADOR-SC,01/08/2022,"34,10%"
BELO JARDIM-PE,01/08/2022,"7,90%"
SAO FELIX DO XINGU-PA,01/08/2022,"2,20%"
CATAGUASES-MG,01/08/2022,"43,00%"
PIRASSUNUNGA-SP,01/08/2022,"48,10%"
CRATEUS-CE,01/08/2022,"34,00%"
CALDAS NOVAS-GO,01/08/2022,"85,00%"
AQUIRAZ-CE,01/08/2022,"27,40%"
RIO LARGO-AL,01/08/2022,"31,60%"
IBIUNA-SP,01/08/2022,"30,40%"
VALENCA-RJ,01/08/2022,"8,80%"
PALMEIRA DOS INDIOS-AL,01/08/2022,"10,70%"
ARCOVERDE-PE,01/08/2022,"31,50%"
QUIXERAMOBIM-CE,01/08/2022,"12,20%"
CIANORTE-PR,01/08/2022,"53,70%"
OURO PRETO-MG,01/08/2022,"48,50%"
VIANA-ES,01/08/2022,"39,70%"
CAJAMAR-SP,01/08/2022,"37,00%"
CHAPADINHA-MA,01/08/2022,"6,10%"
ARACATI-CE,01/08/2022,"18,80%"
TIANGUA-CE,01/08/2022,"30,30%"
RUSSAS-CE,01/08/2022,"24,50%"
CONCORDIA-SC,01/08/2022,"18,70%"
DIAS DAVILA-BA,01/08/2022,"20,90%"
CASTRO-PR,01/08/2022,"19,10%"
CAMBORIU-SC,01/08/2022,"93,20%"
SANTA ROSA-RS,01/08/2022,"27,30%"
ITAPIRA-SP,01/08/2022,"35,60%"
MOCOCA-SP,01/08/2022,"27,30%"
CEARA MIRIM-RN,01/08/2022,"5,10%"
MACAIBA-RN,01/08/2022,"6,60%"
VINHEDO-SP,01/08/2022,"84,30%"
FERNANDOPOLIS-SP,01/08/2022,"48,10%"
SAO SEBASTIAO DO PARAISO-MG,01/08/2022,"16,60%"
AMPARO-SP,01/08/2022,"41,10%"
FORMIGA-MG,01/08/2022,"29,10%"
CASCAVEL-CE,01/08/2022,"33,60%"
EMBU GUACU-SP,01/08/2022,"47,10%"
SOUSA-PB,01/08/2022,"34,30%"
NAVEGANTES-SC,01/08/2022,"61,10%"
VENANCIO AIRES-RS,01/08/2022,"3,90%"
FARROUPILHA-RS,01/08/2022,"38,00%"
TUPA-SP,01/08/2022,"16,00%"
SORRISO-MT,01/08/2022,"39,60%"
ESTANCIA-SE,01/08/2022,"17,90%"
ICO-CE,01/08/2022,"10,80%"
CAICO-RN,01/08/2022,"24,60%"
CRUZ ALTA-RS,01/08/2022,"14,00%"
CAMAQUA-RS,01/08/2022,"13,20%"
LENCOIS PAULISTA-SP,01/08/2022,"12,90%"
CAPANEMA-PA,01/08/2022,"19,70%"
SANTO ANTONIO DO DESCOBERTO-GO,01/08/2022,"17,50%"
OURICURI-PE,01/08/2022,"4,10%"
ESCADA-PE,01/08/2022,"7,40%"
ITAMARAJU-BA,01/08/2022,"10,80%"
BRUMADO-BA,01/08/2022,"7,10%"
PACAJUS-CE,01/08/2022,"19,00%"
PESQUEIRA-PE,01/08/2022,"3,80%"
VACARIA-RS,01/08/2022,"4,40%"
CONCEICAO DO COITE-BA,01/08/2022,"36,20%"
SAO BORJA-RS,01/08/2022,"10,60%"
RIO DO SUL-SC,01/08/2022,"26,60%"
CRUZ DAS ALMAS-BA,01/08/2022,"51,80%"
ARARANGUA-SC,01/08/2022,"53,50%"
JANUARIA-MG,01/08/2022,"14,60%"
CARAZINHO-RS,01/08/2022,"25,30%"
ITABERABA-BA,01/08/2022,"31,40%"
COSMOPOLIS-SP,01/08/2022,"42,00%"
PENAPOLIS-SP,01/08/2022,"26,50%"
GOIANESIA-GO,01/08/2022,"28,00%"
MORADA NOVA-CE,01/08/2022,"6,20%"
CAMPO BOM-RS,01/08/2022,"59,90%"
PENEDO-AL,01/08/2022,"12,10%"
CAMOCIM-CE,01/08/2022,"17,30%"
BOM JESUS DA LAPA-BA,01/08/2022,"9,10%"
PEDRO LEOPOLDO-MG,01/08/2022,"29,60%"
ROLANDIA-PR,01/08/2022,"37,00%"
BIGUACU-SC,01/08/2022,"55,20%"
UNIAO DOS PALMARES-AL,01/08/2022,"3,30%"
BEZERROS-PE,01/08/2022,"9,50%"
LUIS EDUARDO MAGALHAES-BA,01/08/2022,"35,80%"
PERUIBE-SP,01/08/2022,"76,30%"
MONTENEGRO-RS,01/08/2022,"49,10%"
PALMARES-PE,01/08/2022,"8,00%"
SURUBIM-PE,01/08/2022,"7,60%"
CIDADE OCIDENTAL-GO,01/08/2022,"40,00%"
GASPAR-SC,01/08/2022,"16,80%"
ICARA-SC,01/08/2022,"29,50%"
BATATAIS-SP,01/08/2022,"12,90%"
GRAJAU-MA,01/08/2022,"2,60%"
PONTE NOVA-MG,01/08/2022,"31,30%"
SANTO AMARO-BA,01/08/2022,"6,90%"
HORIZONTE-CE,01/08/2022,"21,30%"
ACARAU-CE,01/08/2022,"2,60%"
MORENO-PE,01/08/2022,"11,30%"
UNIAO DA VITORIA-PR,01/08/2022,"27,90%"
SANTA IZABEL DO PARA-PA,01/08/2022,"4,50%"
LIMOEIRO DO NORTE-CE,01/08/2022,"16,70%"
ANDRADINA-SP,01/08/2022,"34,40%"
BARRA DO GARCAS-MT,01/08/2022,"47,30%"
GUARABIRA-PB,01/08/2022,"16,10%"
MIRASSOL-SP,01/08/2022,"36,30%"
INDAIAL-SC,01/08/2022,"50,10%"
SALGUEIRO-PE,01/08/2022,"17,90%"
TRES PONTAS-MG,01/08/2022,"5,50%"
SAO MIGUEL DOS CAMPOS-AL,01/08/2022,"5,00%"
IRATI-PR,01/08/2022,"16,20%"
RIO BONITO-RJ,01/08/2022,"28,90%"
BARBALHA-CE,01/08/2022,"22,60%"
IBITINGA-SP,01/08/2022,"25,60%"
LAGOA SANTA-MG,01/08/2022,"69,10%"
TAQUARA-RS,01/08/2022,"28,30%"
PIRAPORA-MG,01/08/2022,"23,10%"
TAUA-CE,01/08/2022,"7,70%"
LIMOEIRO-PE,01/08/2022,"10,40%"
CABEDELO-PB,01/08/2022,"41,90%"
REGISTRO-SP,01/08/2022,"26,00%"
TIMBAUBA-PE,01/08/2022,"2,70%"
TAQUARITINGA-SP,01/08/2022,"12,70%"
CACHOEIRAS DE MACACU-RJ,01/08/2022,"3,10%"
CANOINHAS-SC,01/08/2022,"18,90%"
MARIANA-MG,01/08/2022,"40,80%"
PORTO FERREIRA-SP,01/08/2022,"24,00%"
FRUTAL-MG,01/08/2022,"16,70%"
GUAPIMIRIM-RJ,01/08/2022,"33,30%"
SAO BENTO DO UNA-PE,01/08/2022,"2,50%"
CAMPO BELO-MG,01/08/2022,"38,60%"
SAO PAULO-SP,01/09/2022,"78,90%"
RIO DE JANEIRO-RJ,01/09/2022,"73,40%"
SALVADOR-BA,01/09/2022,"50,70%"
BRASILIA-DF,01/09/2022,"55,90%"
FORTALEZA-CE,01/09/2022,"63,50%"
BELO HORIZONTE-MG,01/09/2022,"85,80%"
MANAUS-AM,01/09/2022,"49,30%"
CURITIBA-PR,01/09/2022,"83,40%"
RECIFE-PE,01/09/2022,"76,20%"
BELEM-PA,01/09/2022,"48,30%"
PORTO ALEGRE-RS,01/09/2022,"80,70%"
GOIANIA-GO,01/09/2022,"75,30%"
GUARULHOS-SP,01/09/2022,"69,90%"
CAMPINAS-SP,01/09/2022,"78,40%"
SAO LUIS-MA,01/09/2022,"38,80%"
SAO GONCALO-RJ,01/09/2022,"58,90%"
MACEIO-AL,01/09/2022,"59,90%"
DUQUE DE CAXIAS-RJ,01/09/2022,"50,30%"
NATAL-RN,01/09/2022,"52,30%"
TERESINA-PI,01/09/2022,"43,80%"
