Cidade,Uf,mes/ano,churn
CAMPINAS,SP,01/08/2022,"6,83%"
SAO LUIS,MA,01/08/2022,"7,49%"
SAO GONCALO,RJ,01/08/2022,"10,63%"
MACEIO,AL,01/08/2022,"8,62%"
DUQUE DE CAXIAS,RJ,01/08/2022,"11,47%"
NATAL,RN,01/08/2022,"9,21%"
TERESINA,PI,01/08/2022,"8,29%"
NOVA IGUACU,RJ,01/08/2022,"15,85%"
CAMPO GRANDE,MS,01/08/2022,"11,42%"
JOAO PESSOA,PB,01/08/2022,"7,02%"
SAO BERNARDO DO CAMPO,SP,01/08/2022,"7,03%"
OSASCO,SP,01/08/2022,"8,58%"
SANTO ANDRE,SP,01/08/2022,"7,21%"
JABOATAO DOS GUARARAPES,PE,01/08/2022,"12,93%"
SAO JOSE DOS CAMPOS,SP,01/08/2022,"8,48%"
CONTAGEM,MG,01/08/2022,"9,10%"
RIBEIRAO PRETO,SP,01/08/2022,"7,55%"
UBERLANDIA,MG,01/08/2022,"9,66%"
SOROCABA,SP,01/08/2022,"7,96%"
ARACAJU,SE,01/08/2022,"10,91%"
CUIABA,MT,01/08/2022,"9,54%"
FEIRA DE SANTANA,BA,01/08/2022,"9,94%"
JUIZ DE FORA,MG,01/08/2022,"8,16%"
JOINVILLE,SC,01/08/2022,"6,89%"
LONDRINA,PR,01/08/2022,"6,41%"
BELFORD ROXO,RJ,01/08/2022,"13,35%"
ANANINDEUA,PA,01/08/2022,"13,48%"
SAO JOAO DE MERITI,RJ,01/08/2022,"14,97%"
APARECIDA DE GOIANIA,GO,01/08/2022,"11,22%"
NITEROI,RJ,01/08/2022,"6,76%"
CAMPOS DOS GOYTACAZES,RJ,01/08/2022,"10,44%"
CAXIAS DO SUL,RS,01/08/2022,"7,76%"
MAUA,SP,01/08/2022,"9,63%"
FLORIANOPOLIS,SC,01/08/2022,"7,47%"
VILA VELHA,ES,01/08/2022,"9,27%"
SANTOS,SP,01/08/2022,"7,06%"
SAO JOSE DO RIO PRETO,SP,01/08/2022,"7,53%"
PORTO VELHO,RO,01/08/2022,"7,13%"
SERRA,ES,01/08/2022,"11,87%"
DIADEMA,SP,01/08/2022,"9,97%"
OLINDA,PE,01/08/2022,"14,33%"
MACAPA,AP,01/08/2022,"7,28%"
BETIM,MG,01/08/2022,"9,25%"
CAMPINA GRANDE,PB,01/08/2022,"7,27%"
MOGI DAS CRUZES,SP,01/08/2022,"8,23%"
CARAPICUIBA,SP,01/08/2022,"9,56%"
PIRACICABA,SP,01/08/2022,"6,91%"
MONTES CLAROS,MG,01/08/2022,"7,89%"
JUNDIAI,SP,01/08/2022,"6,71%"
MARINGA,PR,01/08/2022,"5,01%"
CARIACICA,ES,01/08/2022,"10,57%"
BAURU,SP,01/08/2022,"7,32%"
ANAPOLIS,GO,01/08/2022,"7,74%"
RIO BRANCO,AC,01/08/2022,"11,62%"
CANOAS,RS,01/08/2022,"7,81%"
SAO VICENTE,SP,01/08/2022,"15,82%"
VITORIA,ES,01/08/2022,"6,73%"
PELOTAS,RS,01/08/2022,"10,50%"
FRANCA,SP,01/08/2022,"7,97%"
ITAQUAQUECETUBA,SP,01/08/2022,"11,78%"
BLUMENAU,SC,01/08/2022,"7,70%"
PONTA GROSSA,PR,01/08/2022,"7,51%"
CARUARU,PE,01/08/2022,"7,81%"
CAUCAIA,CE,01/08/2022,"6,67%"
RIBEIRAO DAS NEVES,MG,01/08/2022,"9,42%"
VITORIA DA CONQUISTA,BA,01/08/2022,"8,55%"
PAULISTA,PE,01/08/2022,"12,12%"
PETROPOLIS,RJ,01/08/2022,"9,89%"
GUARUJA,SP,01/08/2022,"7,29%"
UBERABA,MG,01/08/2022,"8,14%"
PETROLINA,PE,01/08/2022,"6,69%"
BOA VISTA,RR,01/08/2022,"8,69%"
TAUBATE,SP,01/08/2022,"7,68%"
CASCAVEL,PR,01/08/2022,"5,21%"
SANTAREM,PA,01/08/2022,"10,56%"
LIMEIRA,SP,01/08/2022,"6,71%"
SUZANO,SP,01/08/2022,"8,79%"
SAO JOSE DOS PINHAIS,PR,01/08/2022,"7,03%"
PRAIA GRANDE,SP,01/08/2022,"9,14%"
GOVERNADOR VALADARES,MG,01/08/2022,"8,35%"
VOLTA REDONDA,RJ,01/08/2022,"9,24%"
GRAVATAI,RS,01/08/2022,"9,82%"
MOSSORO,RN,01/08/2022,"11,27%"
SANTA MARIA,RS,01/08/2022,"7,33%"
FOZ DO IGUACU,PR,01/08/2022,"6,79%"
VARZEA GRANDE,MT,01/08/2022,"11,29%"
NOVO HAMBURGO,RS,01/08/2022,"8,83%"
IMPERATRIZ,MA,01/08/2022,"8,04%"
JUAZEIRO DO NORTE,CE,01/08/2022,"7,59%"
SUMARE,SP,01/08/2022,"8,96%"
BARUERI,SP,01/08/2022,"6,49%"
IPATINGA,MG,01/08/2022,"8,19%"
CAMACARI,BA,01/08/2022,"8,89%"
VIAMAO,RS,01/08/2022,"8,28%"
EMBU DAS ARTES,SP,01/08/2022,"11,14%"
ITABORAI,RJ,01/08/2022,"12,14%"
TABOAO DA SERRA,SP,01/08/2022,"11,11%"
MAGE,RJ,01/08/2022,"7,95%"
MARABA,PA,01/08/2022,"5,11%"
PALMAS,TO,01/08/2022,"6,82%"
SAO CARLOS,SP,01/08/2022,"7,56%"
COLOMBO,PR,01/08/2022,"9,11%"
ARAPIRACA,AL,01/08/2022,"9,59%"
MARILIA,SP,01/08/2022,"6,22%"
SETE LAGOAS,MG,01/08/2022,"9,32%"
SAO LEOPOLDO,RS,01/08/2022,"7,52%"
DIVINOPOLIS,MG,01/08/2022,"8,09%"
MARACANAU,CE,01/08/2022,"10,75%"
AMERICANA,SP,01/08/2022,"4,83%"
JACAREI,SP,01/08/2022,"7,58%"
ITAPEVI,SP,01/08/2022,"13,47%"
PARNAMIRIM,RN,01/08/2022,"9,05%"
PRESIDENTE PRUDENTE,SP,01/08/2022,"6,58%"
ARARAQUARA,SP,01/08/2022,"8,60%"
MACAE,RJ,01/08/2022,"6,89%"
ITABUNA,BA,01/08/2022,"10,26%"
SAO JOSE,SC,01/08/2022,"9,12%"
SANTA LUZIA,MG,01/08/2022,"13,43%"
INDAIATUBA,SP,01/08/2022,"6,62%"
ALVORADA,RS,01/08/2022,"10,54%"
COTIA,SP,01/08/2022,"6,01%"
JUAZEIRO,BA,01/08/2022,"13,51%"
HORTOLANDIA,SP,01/08/2022,"8,69%"
RIO GRANDE,RS,01/08/2022,"7,38%"
DOURADOS,MS,01/08/2022,"10,20%"
CRICIUMA,SC,01/08/2022,"6,43%"
RONDONOPOLIS,MT,01/08/2022,"10,51%"
CACHOEIRO DE ITAPEMIRIM,ES,01/08/2022,"9,93%"
CABO FRIO,RJ,01/08/2022,"11,68%"
RIO CLARO,SP,01/08/2022,"5,83%"
SOBRAL,CE,01/08/2022,"8,81%"
SANTA BARBARA DOESTE,SP,01/08/2022,"10,89%"
PASSO FUNDO,RS,01/08/2022,"6,22%"
ARACATUBA,SP,01/08/2022,"6,13%"
CHAPECO,SC,01/08/2022,"10,53%"
ITAJAI,SC,01/08/2022,"7,95%"
ILHEUS,BA,01/08/2022,"8,68%"
CABO DE SANTO AGOSTINHO,PE,01/08/2022,"14,59%"
MESQUITA,RJ,01/08/2022,"14,25%"
FERRAZ DE VASCONCELOS,SP,01/08/2022,"15,05%"
NOVA FRIBURGO,RJ,01/08/2022,"5,28%"
BARRA MANSA,RJ,01/08/2022,"9,94%"
LAURO DE FREITAS,BA,01/08/2022,"9,45%"
CASTANHAL,PA,01/08/2022,"8,53%"
RIO VERDE,GO,01/08/2022,"9,28%"
IBIRITE,MG,01/08/2022,"9,82%"
ANGRA DOS REIS,RJ,01/08/2022,"9,06%"
LUZIANIA,GO,01/08/2022,"11,76%"
GUARAPUAVA,PR,01/08/2022,"7,35%"
FRANCISCO MORATO,SP,01/08/2022,"13,19%"
NOSSA SENHORA DO SOCORRO,SE,01/08/2022,"11,16%"
AGUAS LINDAS DE GOIAS,GO,01/08/2022,"7,78%"
CAMARAGIBE,PE,01/08/2022,"8,67%"
TERESOPOLIS,RJ,01/08/2022,"5,42%"
LAGES,SC,01/08/2022,"7,49%"
ITU,SP,01/08/2022,"5,77%"
PARAUAPEBAS,PA,01/08/2022,"6,85%"
POCOS DE CALDAS,MG,01/08/2022,"7,43%"
TIMON,MA,01/08/2022,"10,78%"
NILOPOLIS,RJ,01/08/2022,"10,75%"
JEQUIE,BA,01/08/2022,"8,33%"
CAXIAS,MA,01/08/2022,"7,92%"
SAO JOSE DE RIBAMAR,MA,01/08/2022,"8,77%"
PINDAMONHANGABA,SP,01/08/2022,"5,35%"
BRAGANCA PAULISTA,SP,01/08/2022,"7,58%"
PARNAIBA,PI,01/08/2022,"10,14%"
SAO CAETANO DO SUL,SP,01/08/2022,"4,23%"
QUEIMADOS,RJ,01/08/2022,"12,33%"
ITAPETININGA,SP,01/08/2022,"7,46%"
PARANAGUA,PR,01/08/2022,"6,62%"
JARAGUA DO SUL,SC,01/08/2022,"4,64%"
LINHARES,ES,01/08/2022,"7,96%"
PALHOCA,SC,01/08/2022,"9,33%"
TEIXEIRA DE FREITAS,BA,01/08/2022,"10,89%"
VALPARAISO DE GOIAS,GO,01/08/2022,"9,87%"
PATOS DE MINAS,MG,01/08/2022,"5,20%"
ALAGOINHAS,BA,01/08/2022,"12,15%"
MOGI GUACU,SP,01/08/2022,"8,17%"
ITAPECERICA DA SERRA,SP,01/08/2022,"9,02%"
ABAETETUBA,PA,01/08/2022,"12,90%"
ARAGUAINA,TO,01/08/2022,"6,11%"
TEOFILO OTONI,MG,01/08/2022,"6,76%"
SAPUCAIA DO SUL,RS,01/08/2022,"11,82%"
JAU,SP,01/08/2022,"8,46%"
BARREIRAS,BA,01/08/2022,"7,62%"
POUSO ALEGRE,MG,01/08/2022,"5,33%"
VITORIA DE SANTO ANTAO,PE,01/08/2022,"4,79%"
MARICA,RJ,01/08/2022,"12,01%"
BOTUCATU,SP,01/08/2022,"6,42%"
BARBACENA,MG,01/08/2022,"11,11%"
GARANHUNS,PE,01/08/2022,"11,35%"
ATIBAIA,SP,01/08/2022,"6,42%"
PORTO SEGURO,BA,01/08/2022,"9,52%"
VARGINHA,MG,01/08/2022,"8,28%"
URUGUAIANA,RS,01/08/2022,"10,07%"
APUCARANA,PR,01/08/2022,"6,35%"
CUBATAO,SP,01/08/2022,"8,33%"
SANTA RITA,PB,01/08/2022,"10,68%"
RESENDE,RJ,01/08/2022,"6,77%"
ARAUCARIA,PR,01/08/2022,"2,97%"
ARARAS,SP,01/08/2022,"7,86%"
CRATO,CE,01/08/2022,"5,49%"
PINHAIS,PR,01/08/2022,"6,96%"
CACHOEIRINHA,RS,01/08/2022,"8,55%"
SABARA,MG,01/08/2022,"18,87%"
SANTA CRUZ DO SUL,RS,01/08/2022,"8,75%"
CONSELHEIRO LAFAIETE,MG,01/08/2022,"10,14%"
SIMOES FILHO,BA,01/08/2022,"9,71%"
CAMETA,PA,01/08/2022,"8,82%"
BAGE,RS,01/08/2022,"6,80%"
TOLEDO,PR,01/08/2022,"3,05%"
FRANCO DA ROCHA,SP,01/08/2022,"9,12%"
CATANDUVA,SP,01/08/2022,"3,91%"
VARZEA PAULISTA,SP,01/08/2022,"9,70%"
SANTANA DE PARNAIBA,SP,01/08/2022,"5,81%"
GUARATINGUETA,SP,01/08/2022,"8,65%"
ITAPIPOCA,CE,01/08/2022,"4,62%"
BARRETOS,SP,01/08/2022,"5,72%"
MARITUBA,PA,01/08/2022,"11,67%"
SERTAOZINHO,SP,01/08/2022,"6,97%"
BAYEUX,PB,01/08/2022,"13,64%"
SINOP,MT,01/08/2022,"7,79%"
VOTORANTIM,SP,01/08/2022,"5,98%"
CODO,MA,01/08/2022,"7,14%"
ITAGUAI,RJ,01/08/2022,"12,64%"
JI PARANA,RO,01/08/2022,"7,32%"
MARANGUAPE,CE,01/08/2022,"11,76%"
ITABIRA,MG,01/08/2022,"6,67%"
BIRIGUI,SP,01/08/2022,"3,40%"
ARARUAMA,RJ,01/08/2022,"10,95%"
BRAGANCA,PA,01/08/2022,"5,80%"
CAMPO LARGO,PR,01/08/2022,"6,59%"
PACO DO LUMIAR,MA,01/08/2022,"9,21%"
ARAGUARI,MG,01/08/2022,"5,37%"
SALTO,SP,01/08/2022,"8,64%"
VESPASIANO,MG,01/08/2022,"15,91%"
SAO MATEUS,ES,01/08/2022,"8,61%"
PASSOS,MG,01/08/2022,"10,82%"
VALINHOS,SP,01/08/2022,"5,00%"
TATUI,SP,01/08/2022,"10,53%"
ALMIRANTE TAMANDARE,PR,01/08/2022,"8,66%"
RIO DAS OSTRAS,RJ,01/08/2022,"11,15%"
CORONEL FABRICIANO,MG,01/08/2022,"7,33%"
BRUSQUE,SC,01/08/2022,"8,14%"
COLATINA,ES,01/08/2022,"8,70%"
BENTO GONCALVES,RS,01/08/2022,"6,49%"
TRINDADE,GO,01/08/2022,"11,26%"
RIBEIRAO PIRES,SP,01/08/2022,"6,22%"
ARAPONGAS,PR,01/08/2022,"5,60%"
PAULO AFONSO,BA,01/08/2022,"16,81%"
POA,SP,01/08/2022,"10,19%"
GUARAPARI,ES,01/08/2022,"11,82%"
CARAGUATATUBA,SP,01/08/2022,"11,17%"
OURINHOS,SP,01/08/2022,"6,93%"
BALNEARIO CAMBORIU,SC,01/08/2022,"6,23%"
SANTANA,AP,01/08/2022,"11,11%"
ITATIBA,SP,01/08/2022,"6,19%"
BARCARENA,PA,01/08/2022,"30,36%"
UMUARAMA,PR,01/08/2022,"5,11%"
PATOS,PB,01/08/2022,"5,84%"
MURIAE,MG,01/08/2022,"6,18%"
IGARASSU,PE,01/08/2022,"9,43%"
UBA,MG,01/08/2022,"8,99%"
NOVO GAMA,GO,01/08/2022,"3,85%"
ACAILANDIA,MA,01/08/2022,"8,96%"
TRES LAGOAS,MS,01/08/2022,"10,31%"
EUNAPOLIS,BA,01/08/2022,"3,23%"
FORMOSA,GO,01/08/2022,"6,49%"
CORUMBA,MS,01/08/2022,"5,20%"
SAO LOURENCO DA MATA,PE,01/08/2022,"12,05%"
JAPERI,RJ,01/08/2022,"15,52%"
TUBARAO,SC,01/08/2022,"7,17%"
CAMBE,PR,01/08/2022,"7,23%"
ABREU E LIMA,PE,01/08/2022,"18,84%"
GUAIBA,RS,01/08/2022,"9,73%"
BACABAL,MA,01/08/2022,"7,78%"
ERECHIM,RS,01/08/2022,"12,10%"
PARINTINS,AM,01/08/2022,"5,00%"
ITUIUTABA,MG,01/08/2022,"9,39%"
JANDIRA,SP,01/08/2022,"8,03%"
ASSIS,SP,01/08/2022,"7,51%"
TUCURUI,PA,01/08/2022,"6,90%"
CAIEIRAS,SP,01/08/2022,"5,79%"
ARAXA,MG,01/08/2022,"4,59%"
LAVRAS,MG,01/08/2022,"12,60%"
BARRA DO PIRAI,RJ,01/08/2022,"21,05%"
IGUATU,CE,01/08/2022,"13,56%"
SANTA CRUZ DO CAPIBARIBE,PE,01/08/2022,"5,41%"
ITAPERUNA,RJ,01/08/2022,"8,52%"
ALTAMIRA,PA,01/08/2022,"6,93%"
LEME,SP,01/08/2022,"6,95%"
LAGARTO,SE,01/08/2022,"19,30%"
ITUMBIARA,GO,01/08/2022,"9,34%"
PARAGOMINAS,PA,01/08/2022,"8,26%"
SANTO ANTONIO DE JESUS,BA,01/08/2022,"12,26%"
ITAJUBA,MG,01/08/2022,"5,47%"
ITAITUBA,PA,01/08/2022,"14,29%"
PIRAQUARA,PR,01/08/2022,"7,55%"
ITANHAEM,SP,01/08/2022,"11,26%"
SAO GONCALO DO AMARANTE,RN,01/08/2022,"5,33%"
ITAPEVA,SP,01/08/2022,"10,74%"
CAMPO MOURAO,PR,01/08/2022,"4,39%"
SARANDI,PR,01/08/2022,"7,89%"
SAO PEDRO DA ALDEIA,RJ,01/08/2022,"10,36%"
SENADOR CANEDO,GO,01/08/2022,"7,48%"
ITABAIANA,SE,01/08/2022,"20,00%"
ITAUNA,MG,01/08/2022,"4,88%"
CATALAO,GO,01/08/2022,"6,42%"
ARIQUEMES,RO,01/08/2022,"9,33%"
VOTUPORANGA,SP,01/08/2022,"8,25%"
CACAPAVA,SP,01/08/2022,"11,11%"
JATAI,GO,01/08/2022,"6,47%"
VALENCA,BA,01/08/2022,"5,97%"
MOGI MIRIM,SP,01/08/2022,"8,20%"
SAO JOAO DA BOA VISTA,SP,01/08/2022,"3,75%"
PAULINIA,SP,01/08/2022,"6,21%"
SAO JOAO DEL REI,MG,01/08/2022,"6,87%"
ITACOATIARA,AM,01/08/2022,"20,00%"
LORENA,SP,01/08/2022,"5,31%"
ESTEIO,RS,01/08/2022,"5,24%"
TIMOTEO,MG,01/08/2022,"10,39%"
FAZENDA RIO GRANDE,PR,01/08/2022,"8,99%"
PARA DE MINAS,MG,01/08/2022,"7,69%"
MAIRIPORA,SP,01/08/2022,"11,18%"
CANDEIAS,BA,01/08/2022,"16,67%"
BREVES,PA,01/08/2022,"10,00%"
TANGARA DA SERRA,MT,01/08/2022,"10,91%"
PARANAVAI,PR,01/08/2022,"10,63%"
CARATINGA,MG,01/08/2022,"14,08%"
AVARE,SP,01/08/2022,"5,23%"
CACERES,MT,01/08/2022,"28,57%"
PARACATU,MG,01/08/2022,"6,36%"
SANTANA DO LIVRAMENTO,RS,01/08/2022,"13,33%"
NOVA LIMA,MG,01/08/2022,"5,81%"
CACHOEIRA DO SUL,RS,01/08/2022,"5,41%"
UBATUBA,SP,01/08/2022,"10,34%"
SAO ROQUE,SP,01/08/2022,"6,85%"
ARACRUZ,ES,01/08/2022,"15,05%"
SAO CRISTOVAO,SE,01/08/2022,"9,52%"
PATROCINIO,MG,01/08/2022,"7,76%"
IPOJUCA,PE,01/08/2022,"14,18%"
SEROPEDICA,RJ,01/08/2022,"6,06%"
PLANALTINA,GO,01/08/2022,"11,58%"
CRUZEIRO,SP,01/08/2022,"4,32%"
IJUI,RS,01/08/2022,"11,43%"
TRES RIOS,RJ,01/08/2022,"13,79%"
BARRA DO CORDA,MA,01/08/2022,"12,50%"
MANHUACU,MG,01/08/2022,"14,43%"
MATAO,SP,01/08/2022,"9,02%"
ARUJA,SP,01/08/2022,"6,81%"
SERRA TALHADA,PE,01/08/2022,"17,24%"
GURUPI,TO,01/08/2022,"8,20%"
ARARIPINA,PE,01/08/2022,"8,33%"
FRANCISCO BELTRAO,PR,01/08/2022,"8,33%"
QUIXADA,CE,01/08/2022,"5,30%"
GUANAMBI,BA,01/08/2022,"13,19%"
SAPIRANGA,RS,01/08/2022,"11,11%"
SANTO ANGELO,RS,01/08/2022,"6,98%"
JACOBINA,BA,01/08/2022,"8,93%"
PINHEIRO,MA,01/08/2022,"16,67%"
CARPINA,PE,01/08/2022,"10,53%"
CAMPO LIMPO PAULISTA,SP,01/08/2022,"15,53%"
JOAO MONLEVADE,MG,01/08/2022,"3,66%"
CACOAL,RO,01/08/2022,"9,59%"
BEBEDOURO,SP,01/08/2022,"3,38%"
VILHENA,RO,01/08/2022,"11,54%"
GRAVATA,PE,01/08/2022,"7,14%"
PACATUBA,CE,01/08/2022,"20,29%"
SERRINHA,BA,01/08/2022,"7,23%"
CANINDE,CE,01/08/2022,"9,26%"
LAJEADO,RS,01/08/2022,"4,76%"
SAO BENTO DO SUL,SC,01/08/2022,"7,50%"
ALFENAS,MG,01/08/2022,"10,07%"
GOIANA,PE,01/08/2022,"4,35%"
ALEGRETE,RS,01/08/2022,"21,15%"
NOVA SERRANA,MG,01/08/2022,"15,08%"
PONTA PORA,MS,01/08/2022,"9,64%"
PATO BRANCO,PR,01/08/2022,"4,40%"
VICOSA,MG,01/08/2022,"4,02%"
CRUZEIRO DO SUL,AC,01/08/2022,"17,14%"
SAO SEBASTIAO,SP,01/08/2022,"12,89%"
TRES CORACOES,MG,01/08/2022,"8,70%"
SAQUAREMA,RJ,01/08/2022,"12,06%"
PICOS,PI,01/08/2022,"9,23%"
LINS,SP,01/08/2022,"3,66%"
JABOTICABAL,SP,01/08/2022,"5,88%"
CURVELO,MG,01/08/2022,"7,09%"
REDENCAO,PA,01/08/2022,"15,22%"
TELEMACO BORBA,PR,01/08/2022,"8,26%"
UNAI,MG,01/08/2022,"10,74%"
CACADOR,SC,01/08/2022,"8,20%"
BELO JARDIM,PE,01/08/2022,"3,85%"
SAO FELIX DO XINGU,PA,01/08/2022,"16,67%"
CATAGUASES,MG,01/08/2022,"16,35%"
PIRASSUNUNGA,SP,01/08/2022,"2,76%"
CRATEUS,CE,01/08/2022,"18,48%"
CALDAS NOVAS,GO,01/08/2022,"8,55%"
AQUIRAZ,CE,01/08/2022,"6,25%"
RIO LARGO,AL,01/08/2022,"9,78%"
IBIUNA,SP,01/08/2022,"15,85%"
VALENCA,RJ,01/08/2022,"7,50%"
PALMEIRA DOS INDIOS,AL,01/08/2022,"2,56%"
ARCOVERDE,PE,01/08/2022,"12,31%"
QUIXERAMOBIM,CE,01/08/2022,"12,50%"
CIANORTE,PR,01/08/2022,"5,79%"
OURO PRETO,MG,01/08/2022,"8,00%"
VIANA,ES,01/08/2022,"14,13%"
CAJAMAR,SP,01/08/2022,"10,14%"
CHAPADINHA,MA,01/08/2022,"9,09%"
ARACATI,CE,01/08/2022,"13,79%"
TIANGUA,CE,01/08/2022,"9,38%"
RUSSAS,CE,01/08/2022,"11,01%"
CONCORDIA,SC,01/08/2022,"5,66%"
DIAS DAVILA,BA,01/08/2022,"7,59%"
CASTRO,PR,01/08/2022,"6,06%"
CAMBORIU,SC,01/08/2022,"14,21%"
SANTA ROSA,RS,01/08/2022,"4,49%"
ITAPIRA,SP,01/08/2022,"10,81%"
MOCOCA,SP,01/08/2022,"4,08%"
CEARA MIRIM,RN,01/08/2022,"11,76%"
MACAIBA,RN,01/08/2022,"20,00%"
VINHEDO,SP,01/08/2022,"4,67%"
FERNANDOPOLIS,SP,01/08/2022,"5,41%"
SAO SEBASTIAO DO PARAISO,MG,01/08/2022,"10,94%"
AMPARO,SP,01/08/2022,"7,27%"
FORMIGA,MG,01/08/2022,"7,23%"
CASCAVEL,CE,01/08/2022,"11,11%"
EMBU GUACU,SP,01/08/2022,"7,14%"
SOUSA,PB,01/08/2022,"11,96%"
NAVEGANTES,SC,01/08/2022,"7,31%"
VENANCIO AIRES,RS,01/08/2022,"18,18%"
FARROUPILHA,RS,01/08/2022,"4,31%"
TUPA,SP,01/08/2022,"4,62%"
SORRISO,MT,01/08/2022,"10,00%"
ESTANCIA,SE,01/08/2022,"10,39%"
ICO,CE,01/08/2022,"7,69%"
CAICO,RN,01/08/2022,"11,86%"
CRUZ ALTA,RS,01/08/2022,"11,90%"
CAMAQUA,RS,01/08/2022,"0,00%"
LENCOIS PAULISTA,SP,01/08/2022,"15,79%"
CAPANEMA,PA,01/08/2022,"24,39%"
SANTO ANTONIO DO DESCOBERTO,GO,01/08/2022,"4,48%"
OURICURI,PE,01/08/2022,"26,67%"
ESCADA,PE,01/08/2022,"9,52%"
ITAMARAJU,BA,01/08/2022,"15,15%"
BRUMADO,BA,01/08/2022,"15,38%"
PACAJUS,CE,01/08/2022,"15,79%"
PESQUEIRA,PE,01/08/2022,"0,00%"
VACARIA,RS,01/08/2022,"9,09%"
CONCEICAO DO COITE,BA,01/08/2022,"10,39%"
SAO BORJA,RS,01/08/2022,"7,41%"
RIO DO SUL,SC,01/08/2022,"2,99%"
CRUZ DAS ALMAS,BA,01/08/2022,"17,58%"
ARARANGUA,SC,01/08/2022,"4,85%"
JANUARIA,MG,01/08/2022,"23,21%"
CARAZINHO,RS,01/08/2022,"4,55%"
ITABERABA,BA,01/08/2022,"4,76%"
COSMOPOLIS,SP,01/08/2022,"8,06%"
PENAPOLIS,SP,01/08/2022,"10,00%"
GOIANESIA,GO,01/08/2022,"8,86%"
MORADA NOVA,CE,01/08/2022,"10,34%"
CAMPO BOM,RS,01/08/2022,"14,44%"
PENEDO,AL,01/08/2022,"8,77%"
CAMOCIM,CE,01/08/2022,"16,98%"
BOM JESUS DA LAPA,BA,01/08/2022,"0,00%"
PEDRO LEOPOLDO,MG,01/08/2022,"6,60%"
ROLANDIA,PR,01/08/2022,"3,45%"
BIGUACU,SC,01/08/2022,"7,69%"
UNIAO DOS PALMARES,AL,01/08/2022,"8,33%"
BEZERROS,PE,01/08/2022,"11,48%"
LUIS EDUARDO MAGALHAES,BA,01/08/2022,"8,15%"
PERUIBE,SP,01/08/2022,"9,24%"
MONTENEGRO,RS,01/08/2022,"2,86%"
PALMARES,PE,01/08/2022,"12,20%"
SURUBIM,PE,01/08/2022,"26,47%"
CIDADE OCIDENTAL,GO,01/08/2022,"18,18%"
GASPAR,SC,01/08/2022,"2,86%"
ICARA,SC,01/08/2022,"10,71%"
BATATAIS,SP,01/08/2022,"10,87%"
GRAJAU,MA,01/08/2022,"0,00%"
PONTE NOVA,MG,01/08/2022,"7,89%"
SANTO AMARO,BA,01/08/2022,"29,41%"
HORIZONTE,CE,01/08/2022,"5,56%"
ACARAU,CE,01/08/2022,"0,00%"
MORENO,PE,01/08/2022,"12,90%"
UNIAO DA VITORIA,PR,01/08/2022,"12,07%"
SANTA IZABEL DO PARA,PA,01/08/2022,"8,33%"
LIMOEIRO DO NORTE,CE,01/08/2022,"1,96%"
ANDRADINA,SP,01/08/2022,"3,51%"
BARRA DO GARCAS,MT,01/08/2022,"9,38%"
GUARABIRA,PB,01/08/2022,"11,69%"
MIRASSOL,SP,01/08/2022,"1,94%"
INDAIAL,SC,01/08/2022,"9,40%"
SALGUEIRO,PE,01/08/2022,"4,35%"
TRES PONTAS,MG,01/08/2022,"15,38%"
SAO MIGUEL DOS CAMPOS,AL,01/08/2022,"8,70%"
IRATI,PR,01/08/2022,"8,16%"
RIO BONITO,RJ,01/08/2022,"4,50%"
BARBALHA,CE,01/08/2022,"15,79%"
IBITINGA,SP,01/08/2022,"7,14%"
LAGOA SANTA,MG,01/08/2022,"5,35%"
TAQUARA,RS,01/08/2022,"9,62%"
PIRAPORA,MG,01/08/2022,"10,34%"
TAUA,CE,01/08/2022,"18,75%"
LIMOEIRO,PE,01/08/2022,"15,63%"
CABEDELO,PB,01/08/2022,"13,04%"
REGISTRO,SP,01/08/2022,"8,89%"
TIMBAUBA,PE,01/08/2022,"12,50%"
TAQUARITINGA,SP,01/08/2022,"10,81%"
CACHOEIRAS DE MACACU,RJ,01/08/2022,"15,38%"
CANOINHAS,SC,01/08/2022,"10,42%"
MARIANA,MG,01/08/2022,"8,18%"
PORTO FERREIRA,SP,01/08/2022,"2,47%"
FRUTAL,MG,01/08/2022,"4,84%"
GUAPIMIRIM,RJ,01/08/2022,"15,63%"
SAO BENTO DO UNA,PE,01/08/2022,"18,18%"
CAMPO BELO,MG,01/08/2022,"5,26%"
SAO PAULO,SP,01/09/2022,"6,98%"
RIO DE JANEIRO,RJ,01/09/2022,"8,48%"
SALVADOR,BA,01/09/2022,"9,84%"
BRASILIA,DF,01/09/2022,"6,17%"
FORTALEZA,CE,01/09/2022,"7,52%"
BELO HORIZONTE,MG,01/09/2022,"7,13%"
MANAUS,AM,01/09/2022,"12,27%"
CURITIBA,PR,01/09/2022,"6,03%"
RECIFE,PE,01/09/2022,"7,46%"
BELEM,PA,01/09/2022,"9,09%"
PORTO ALEGRE,RS,01/09/2022,"6,61%"
GOIANIA,GO,01/09/2022,"7,29%"
GUARULHOS,SP,01/09/2022,"9,81%"
CAMPINAS,SP,01/09/2022,"6,66%"
SAO LUIS,MA,01/09/2022,"6,92%"
SAO GONCALO,RJ,01/09/2022,"13,21%"
MACEIO,AL,01/09/2022,"7,85%"
DUQUE DE CAXIAS,RJ,01/09/2022,"10,41%"
NATAL,RN,01/09/2022,"8,13%"
TERESINA,PI,01/09/2022,"7,41%"
