Cidade,Uf,mes/ano,reativacao
CAMPINAS,SP,01/08/2022,"2,82%"
SAO LUIS,MA,01/08/2022,"3,20%"
SAO GONCALO,RJ,01/08/2022,"5,56%"
MACEIO,AL,01/08/2022,"3,93%"
DUQUE DE CAXIAS,RJ,01/08/2022,"3,99%"
NATAL,RN,01/08/2022,"3,19%"
TERESINA,PI,01/08/2022,"3,71%"
NOVA IGUACU,RJ,01/08/2022,"4,61%"
CAMPO GRANDE,MS,01/08/2022,"3,85%"
JOAO PESSOA,PB,01/08/2022,"3,46%"
SAO BERNARDO DO CAMPO,SP,01/08/2022,"2,83%"
OSASCO,SP,01/08/2022,"3,91%"
SANTO ANDRE,SP,01/08/2022,"3,02%"
JABOATAO DOS GUARARAPES,PE,01/08/2022,"4,35%"
SAO JOSE DOS CAMPOS,SP,01/08/2022,"2,00%"
CONTAGEM,MG,01/08/2022,"4,38%"
RIBEIRAO PRETO,SP,01/08/2022,"3,12%"
UBERLANDIA,MG,01/08/2022,"3,18%"
SOROCABA,SP,01/08/2022,"3,77%"
ARACAJU,SE,01/08/2022,"3,76%"
CUIABA,MT,01/08/2022,"4,39%"
FEIRA DE SANTANA,BA,01/08/2022,"3,97%"
JUIZ DE FORA,MG,01/08/2022,"2,84%"
JOINVILLE,SC,01/08/2022,"2,66%"
LONDRINA,PR,01/08/2022,"1,62%"
BELFORD ROXO,RJ,01/08/2022,"5,67%"
ANANINDEUA,PA,01/08/2022,"4,55%"
SAO JOAO DE MERITI,RJ,01/08/2022,"4,56%"
APARECIDA DE GOIANIA,GO,01/08/2022,"5,22%"
NITEROI,RJ,01/08/2022,"2,88%"
CAMPOS DOS GOYTACAZES,RJ,01/08/2022,"4,41%"
CAXIAS DO SUL,RS,01/08/2022,"2,50%"
MAUA,SP,01/08/2022,"3,71%"
FLORIANOPOLIS,SC,01/08/2022,"3,47%"
VILA VELHA,ES,01/08/2022,"3,66%"
SANTOS,SP,01/08/2022,"3,53%"
SAO JOSE DO RIO PRETO,SP,01/08/2022,"3,00%"
PORTO VELHO,RO,01/08/2022,"2,65%"
SERRA,ES,01/08/2022,"3,12%"
DIADEMA,SP,01/08/2022,"3,13%"
OLINDA,PE,01/08/2022,"4,99%"
MACAPA,AP,01/08/2022,"4,79%"
BETIM,MG,01/08/2022,"4,19%"
CAMPINA GRANDE,PB,01/08/2022,"3,87%"
MOGI DAS CRUZES,SP,01/08/2022,"3,61%"
CARAPICUIBA,SP,01/08/2022,"4,52%"
PIRACICABA,SP,01/08/2022,"2,51%"
MONTES CLAROS,MG,01/08/2022,"4,35%"
JUNDIAI,SP,01/08/2022,"1,33%"
MARINGA,PR,01/08/2022,"2,57%"
CARIACICA,ES,01/08/2022,"6,26%"
BAURU,SP,01/08/2022,"3,21%"
ANAPOLIS,GO,01/08/2022,"3,46%"
RIO BRANCO,AC,01/08/2022,"2,86%"
CANOAS,RS,01/08/2022,"3,08%"
SAO VICENTE,SP,01/08/2022,"2,94%"
VITORIA,ES,01/08/2022,"1,97%"
PELOTAS,RS,01/08/2022,"3,35%"
FRANCA,SP,01/08/2022,"3,40%"
ITAQUAQUECETUBA,SP,01/08/2022,"5,02%"
BLUMENAU,SC,01/08/2022,"3,66%"
PONTA GROSSA,PR,01/08/2022,"2,60%"
CARUARU,PE,01/08/2022,"6,14%"
CAUCAIA,CE,01/08/2022,"3,86%"
RIBEIRAO DAS NEVES,MG,01/08/2022,"3,41%"
VITORIA DA CONQUISTA,BA,01/08/2022,"2,75%"
PAULISTA,PE,01/08/2022,"3,85%"
PETROPOLIS,RJ,01/08/2022,"2,67%"
GUARUJA,SP,01/08/2022,"4,77%"
UBERABA,MG,01/08/2022,"3,69%"
PETROLINA,PE,01/08/2022,"4,46%"
BOA VISTA,RR,01/08/2022,"4,24%"
TAUBATE,SP,01/08/2022,"3,29%"
CASCAVEL,PR,01/08/2022,"1,95%"
SANTAREM,PA,01/08/2022,"3,23%"
LIMEIRA,SP,01/08/2022,"3,48%"
SUZANO,SP,01/08/2022,"4,17%"
SAO JOSE DOS PINHAIS,PR,01/08/2022,"3,36%"
PRAIA GRANDE,SP,01/08/2022,"3,10%"
GOVERNADOR VALADARES,MG,01/08/2022,"2,34%"
VOLTA REDONDA,RJ,01/08/2022,"3,33%"
GRAVATAI,RS,01/08/2022,"2,55%"
MOSSORO,RN,01/08/2022,"2,40%"
SANTA MARIA,RS,01/08/2022,"1,89%"
FOZ DO IGUACU,PR,01/08/2022,"2,63%"
VARZEA GRANDE,MT,01/08/2022,"4,06%"
NOVO HAMBURGO,RS,01/08/2022,"2,30%"
IMPERATRIZ,MA,01/08/2022,"4,73%"
JUAZEIRO DO NORTE,CE,01/08/2022,"4,07%"
SUMARE,SP,01/08/2022,"3,08%"
BARUERI,SP,01/08/2022,"3,50%"
IPATINGA,MG,01/08/2022,"3,54%"
CAMACARI,BA,01/08/2022,"4,74%"
VIAMAO,RS,01/08/2022,"6,69%"
EMBU DAS ARTES,SP,01/08/2022,"3,18%"
ITABORAI,RJ,01/08/2022,"4,64%"
TABOAO DA SERRA,SP,01/08/2022,"5,46%"
MAGE,RJ,01/08/2022,"3,03%"
MARABA,PA,01/08/2022,"3,28%"
PALMAS,TO,01/08/2022,"3,95%"
SAO CARLOS,SP,01/08/2022,"3,39%"
COLOMBO,PR,01/08/2022,"2,80%"
ARAPIRACA,AL,01/08/2022,"2,47%"
MARILIA,SP,01/08/2022,"1,12%"
SETE LAGOAS,MG,01/08/2022,"4,47%"
SAO LEOPOLDO,RS,01/08/2022,"4,07%"
DIVINOPOLIS,MG,01/08/2022,"2,76%"
MARACANAU,CE,01/08/2022,"5,02%"
AMERICANA,SP,01/08/2022,"2,87%"
JACAREI,SP,01/08/2022,"4,23%"
ITAPEVI,SP,01/08/2022,"5,68%"
PARNAMIRIM,RN,01/08/2022,"3,79%"
PRESIDENTE PRUDENTE,SP,01/08/2022,"3,78%"
ARARAQUARA,SP,01/08/2022,"3,47%"
MACAE,RJ,01/08/2022,"3,18%"
ITABUNA,BA,01/08/2022,"4,17%"
SAO JOSE,SC,01/08/2022,"3,51%"
SANTA LUZIA,MG,01/08/2022,"5,43%"
INDAIATUBA,SP,01/08/2022,"3,10%"
ALVORADA,RS,01/08/2022,"4,76%"
COTIA,SP,01/08/2022,"3,96%"
JUAZEIRO,BA,01/08/2022,"2,70%"
HORTOLANDIA,SP,01/08/2022,"5,21%"
RIO GRANDE,RS,01/08/2022,"4,03%"
DOURADOS,MS,01/08/2022,"2,44%"
CRICIUMA,SC,01/08/2022,"2,06%"
RONDONOPOLIS,MT,01/08/2022,"3,77%"
CACHOEIRO DE ITAPEMIRIM,ES,01/08/2022,"2,98%"
CABO FRIO,RJ,01/08/2022,"3,28%"
RIO CLARO,SP,01/08/2022,"2,82%"
SOBRAL,CE,01/08/2022,"2,64%"
SANTA BARBARA DOESTE,SP,01/08/2022,"1,73%"
PASSO FUNDO,RS,01/08/2022,"1,84%"
ARACATUBA,SP,01/08/2022,"2,60%"
CHAPECO,SC,01/08/2022,"0,66%"
ITAJAI,SC,01/08/2022,"3,30%"
ILHEUS,BA,01/08/2022,"5,21%"
CABO DE SANTO AGOSTINHO,PE,01/08/2022,"3,78%"
MESQUITA,RJ,01/08/2022,"6,99%"
FERRAZ DE VASCONCELOS,SP,01/08/2022,"4,35%"
NOVA FRIBURGO,RJ,01/08/2022,"3,87%"
BARRA MANSA,RJ,01/08/2022,"3,73%"
LAURO DE FREITAS,BA,01/08/2022,"4,73%"
CASTANHAL,PA,01/08/2022,"3,79%"
RIO VERDE,GO,01/08/2022,"2,10%"
IBIRITE,MG,01/08/2022,"4,36%"
ANGRA DOS REIS,RJ,01/08/2022,"5,28%"
LUZIANIA,GO,01/08/2022,"4,07%"
GUARAPUAVA,PR,01/08/2022,"1,10%"
FRANCISCO MORATO,SP,01/08/2022,"2,78%"
NOSSA SENHORA DO SOCORRO,SE,01/08/2022,"4,02%"
AGUAS LINDAS DE GOIAS,GO,01/08/2022,"4,28%"
CAMARAGIBE,PE,01/08/2022,"1,02%"
TERESOPOLIS,RJ,01/08/2022,"3,20%"
LAGES,SC,01/08/2022,"3,21%"
ITU,SP,01/08/2022,"3,23%"
PARAUAPEBAS,PA,01/08/2022,"3,12%"
POCOS DE CALDAS,MG,01/08/2022,"1,68%"
TIMON,MA,01/08/2022,"1,96%"
NILOPOLIS,RJ,01/08/2022,"6,75%"
JEQUIE,BA,01/08/2022,"4,76%"
CAXIAS,MA,01/08/2022,"3,96%"
SAO JOSE DE RIBAMAR,MA,01/08/2022,"4,09%"
PINDAMONHANGABA,SP,01/08/2022,"5,35%"
BRAGANCA PAULISTA,SP,01/08/2022,"2,20%"
PARNAIBA,PI,01/08/2022,"2,03%"
SAO CAETANO DO SUL,SP,01/08/2022,"2,57%"
QUEIMADOS,RJ,01/08/2022,"5,94%"
ITAPETININGA,SP,01/08/2022,"4,75%"
PARANAGUA,PR,01/08/2022,"2,21%"
JARAGUA DO SUL,SC,01/08/2022,"3,19%"
LINHARES,ES,01/08/2022,"3,48%"
PALHOCA,SC,01/08/2022,"3,50%"
TEIXEIRA DE FREITAS,BA,01/08/2022,"3,63%"
VALPARAISO DE GOIAS,GO,01/08/2022,"5,07%"
PATOS DE MINAS,MG,01/08/2022,"2,45%"
ALAGOINHAS,BA,01/08/2022,"4,67%"
MOGI GUACU,SP,01/08/2022,"2,72%"
ITAPECERICA DA SERRA,SP,01/08/2022,"2,87%"
ABAETETUBA,PA,01/08/2022,"3,23%"
ARAGUAINA,TO,01/08/2022,"6,11%"
TEOFILO OTONI,MG,01/08/2022,"2,25%"
SAPUCAIA DO SUL,RS,01/08/2022,"5,00%"
JAU,SP,01/08/2022,"1,57%"
BARREIRAS,BA,01/08/2022,"2,24%"
POUSO ALEGRE,MG,01/08/2022,"2,51%"
VITORIA DE SANTO ANTAO,PE,01/08/2022,"2,40%"
MARICA,RJ,01/08/2022,"1,54%"
BOTUCATU,SP,01/08/2022,"2,23%"
BARBACENA,MG,01/08/2022,"3,70%"
GARANHUNS,PE,01/08/2022,"0,87%"
ATIBAIA,SP,01/08/2022,"2,26%"
PORTO SEGURO,BA,01/08/2022,"2,72%"
VARGINHA,MG,01/08/2022,"2,15%"
URUGUAIANA,RS,01/08/2022,"0,72%"
APUCARANA,PR,01/08/2022,"1,98%"
CUBATAO,SP,01/08/2022,"3,03%"
SANTA RITA,PB,01/08/2022,"7,77%"
RESENDE,RJ,01/08/2022,"2,77%"
ARAUCARIA,PR,01/08/2022,"2,31%"
ARARAS,SP,01/08/2022,"3,14%"
CRATO,CE,01/08/2022,"4,95%"
PINHAIS,PR,01/08/2022,"2,22%"
CACHOEIRINHA,RS,01/08/2022,"3,62%"
SABARA,MG,01/08/2022,"3,77%"
SANTA CRUZ DO SUL,RS,01/08/2022,"3,13%"
CONSELHEIRO LAFAIETE,MG,01/08/2022,"2,42%"
SIMOES FILHO,BA,01/08/2022,"6,80%"
CAMETA,PA,01/08/2022,"8,82%"
BAGE,RS,01/08/2022,"4,08%"
TOLEDO,PR,01/08/2022,"3,05%"
FRANCO DA ROCHA,SP,01/08/2022,"3,14%"
CATANDUVA,SP,01/08/2022,"3,20%"
VARZEA PAULISTA,SP,01/08/2022,"2,42%"
SANTANA DE PARNAIBA,SP,01/08/2022,"3,36%"
GUARATINGUETA,SP,01/08/2022,"2,54%"
ITAPIPOCA,CE,01/08/2022,"0,00%"
BARRETOS,SP,01/08/2022,"2,02%"
MARITUBA,PA,01/08/2022,"6,67%"
SERTAOZINHO,SP,01/08/2022,"4,92%"
BAYEUX,PB,01/08/2022,"1,52%"
SINOP,MT,01/08/2022,"2,43%"
VOTORANTIM,SP,01/08/2022,"3,59%"
CODO,MA,01/08/2022,"0,00%"
ITAGUAI,RJ,01/08/2022,"3,85%"
JI PARANA,RO,01/08/2022,"1,83%"
MARANGUAPE,CE,01/08/2022,"8,82%"
ITABIRA,MG,01/08/2022,"4,00%"
BIRIGUI,SP,01/08/2022,"1,70%"
ARARUAMA,RJ,01/08/2022,"2,83%"
BRAGANCA,PA,01/08/2022,"5,80%"
CAMPO LARGO,PR,01/08/2022,"2,71%"
PACO DO LUMIAR,MA,01/08/2022,"5,26%"
ARAGUARI,MG,01/08/2022,"2,44%"
SALTO,SP,01/08/2022,"3,32%"
VESPASIANO,MG,01/08/2022,"2,27%"
SAO MATEUS,ES,01/08/2022,"4,64%"
PASSOS,MG,01/08/2022,"1,30%"
VALINHOS,SP,01/08/2022,"3,13%"
TATUI,SP,01/08/2022,"3,62%"
ALMIRANTE TAMANDARE,PR,01/08/2022,"4,72%"
RIO DAS OSTRAS,RJ,01/08/2022,"4,50%"
CORONEL FABRICIANO,MG,01/08/2022,"2,09%"
BRUSQUE,SC,01/08/2022,"3,49%"
COLATINA,ES,01/08/2022,"2,90%"
BENTO GONCALVES,RS,01/08/2022,"2,16%"
TRINDADE,GO,01/08/2022,"2,25%"
RIBEIRAO PIRES,SP,01/08/2022,"2,87%"
ARAPONGAS,PR,01/08/2022,"1,49%"
PAULO AFONSO,BA,01/08/2022,"1,68%"
POA,SP,01/08/2022,"3,40%"
GUARAPARI,ES,01/08/2022,"3,17%"
CARAGUATATUBA,SP,01/08/2022,"4,16%"
OURINHOS,SP,01/08/2022,"3,90%"
BALNEARIO CAMBORIU,SC,01/08/2022,"2,54%"
SANTANA,AP,01/08/2022,"11,11%"
ITATIBA,SP,01/08/2022,"2,21%"
BARCARENA,PA,01/08/2022,"5,36%"
UMUARAMA,PR,01/08/2022,"3,41%"
PATOS,PB,01/08/2022,"3,65%"
MURIAE,MG,01/08/2022,"1,69%"
IGARASSU,PE,01/08/2022,"4,72%"
UBA,MG,01/08/2022,"6,35%"
NOVO GAMA,GO,01/08/2022,"0,00%"
ACAILANDIA,MA,01/08/2022,"2,99%"
TRES LAGOAS,MS,01/08/2022,"4,04%"
EUNAPOLIS,BA,01/08/2022,"4,03%"
FORMOSA,GO,01/08/2022,"1,95%"
CORUMBA,MS,01/08/2022,"1,73%"
SAO LOURENCO DA MATA,PE,01/08/2022,"2,41%"
JAPERI,RJ,01/08/2022,"6,90%"
TUBARAO,SC,01/08/2022,"1,79%"
CAMBE,PR,01/08/2022,"3,21%"
ABREU E LIMA,PE,01/08/2022,"1,45%"
GUAIBA,RS,01/08/2022,"4,42%"
BACABAL,MA,01/08/2022,"3,33%"
ERECHIM,RS,01/08/2022,"6,45%"
PARINTINS,AM,01/08/2022,"0,00%"
ITUIUTABA,MG,01/08/2022,"2,21%"
JANDIRA,SP,01/08/2022,"6,83%"
ASSIS,SP,01/08/2022,"2,39%"
TUCURUI,PA,01/08/2022,"0,00%"
CAIEIRAS,SP,01/08/2022,"5,79%"
ARAXA,MG,01/08/2022,"2,29%"
LAVRAS,MG,01/08/2022,"2,36%"
BARRA DO PIRAI,RJ,01/08/2022,"7,02%"
IGUATU,CE,01/08/2022,"5,08%"
SANTA CRUZ DO CAPIBARIBE,PE,01/08/2022,"1,35%"
ITAPERUNA,RJ,01/08/2022,"2,84%"
ALTAMIRA,PA,01/08/2022,"0,99%"
LEME,SP,01/08/2022,"3,21%"
LAGARTO,SE,01/08/2022,"10,53%"
ITUMBIARA,GO,01/08/2022,"3,85%"
PARAGOMINAS,PA,01/08/2022,"3,31%"
SANTO ANTONIO DE JESUS,BA,01/08/2022,"1,89%"
ITAJUBA,MG,01/08/2022,"2,49%"
ITAITUBA,PA,01/08/2022,"0,00%"
PIRAQUARA,PR,01/08/2022,"3,14%"
ITANHAEM,SP,01/08/2022,"2,98%"
SAO GONCALO DO AMARANTE,RN,01/08/2022,"2,67%"
ITAPEVA,SP,01/08/2022,"0,67%"
CAMPO MOURAO,PR,01/08/2022,"2,93%"
SARANDI,PR,01/08/2022,"4,14%"
SAO PEDRO DA ALDEIA,RJ,01/08/2022,"4,50%"
SENADOR CANEDO,GO,01/08/2022,"1,87%"
ITABAIANA,SE,01/08/2022,"10,00%"
ITAUNA,MG,01/08/2022,"0,81%"
CATALAO,GO,01/08/2022,"1,60%"
ARIQUEMES,RO,01/08/2022,"3,33%"
VOTUPORANGA,SP,01/08/2022,"2,58%"
CACAPAVA,SP,01/08/2022,"1,59%"
JATAI,GO,01/08/2022,"0,59%"
VALENCA,BA,01/08/2022,"2,99%"
MOGI MIRIM,SP,01/08/2022,"2,73%"
SAO JOAO DA BOA VISTA,SP,01/08/2022,"1,67%"
PAULINIA,SP,01/08/2022,"2,41%"
SAO JOAO DEL REI,MG,01/08/2022,"4,58%"
ITACOATIARA,AM,01/08/2022,"10,00%"
LORENA,SP,01/08/2022,"3,67%"
ESTEIO,RS,01/08/2022,"3,14%"
TIMOTEO,MG,01/08/2022,"2,60%"
FAZENDA RIO GRANDE,PR,01/08/2022,"2,25%"
PARA DE MINAS,MG,01/08/2022,"4,62%"
MAIRIPORA,SP,01/08/2022,"1,86%"
CANDEIAS,BA,01/08/2022,"0,00%"
BREVES,PA,01/08/2022,"0,00%"
TANGARA DA SERRA,MT,01/08/2022,"2,73%"
PARANAVAI,PR,01/08/2022,"0,00%"
CARATINGA,MG,01/08/2022,"3,52%"
AVARE,SP,01/08/2022,"1,74%"
CACERES,MT,01/08/2022,"8,16%"
PARACATU,MG,01/08/2022,"4,55%"
SANTANA DO LIVRAMENTO,RS,01/08/2022,"3,33%"
NOVA LIMA,MG,01/08/2022,"1,94%"
CACHOEIRA DO SUL,RS,01/08/2022,"2,70%"
UBATUBA,SP,01/08/2022,"4,70%"
SAO ROQUE,SP,01/08/2022,"2,74%"
ARACRUZ,ES,01/08/2022,"5,38%"
SAO CRISTOVAO,SE,01/08/2022,"2,38%"
PATROCINIO,MG,01/08/2022,"0,86%"
IPOJUCA,PE,01/08/2022,"2,99%"
SEROPEDICA,RJ,01/08/2022,"1,01%"
PLANALTINA,GO,01/08/2022,"2,11%"
CRUZEIRO,SP,01/08/2022,"2,16%"
IJUI,RS,01/08/2022,"2,86%"
TRES RIOS,RJ,01/08/2022,"5,75%"
BARRA DO CORDA,MA,01/08/2022,"25,00%"
MANHUACU,MG,01/08/2022,"6,19%"
MATAO,SP,01/08/2022,"1,50%"
ARUJA,SP,01/08/2022,"2,62%"
SERRA TALHADA,PE,01/08/2022,"6,90%"
GURUPI,TO,01/08/2022,"1,64%"
ARARIPINA,PE,01/08/2022,"5,00%"
FRANCISCO BELTRAO,PR,01/08/2022,"2,08%"
QUIXADA,CE,01/08/2022,"1,32%"
GUANAMBI,BA,01/08/2022,"1,39%"
SAPIRANGA,RS,01/08/2022,"3,17%"
SANTO ANGELO,RS,01/08/2022,"4,65%"
JACOBINA,BA,01/08/2022,"3,57%"
PINHEIRO,MA,01/08/2022,"0,00%"
CARPINA,PE,01/08/2022,"5,26%"
CAMPO LIMPO PAULISTA,SP,01/08/2022,"3,73%"
JOAO MONLEVADE,MG,01/08/2022,"3,66%"
CACOAL,RO,01/08/2022,"4,11%"
BEBEDOURO,SP,01/08/2022,"0,68%"
VILHENA,RO,01/08/2022,"1,92%"
GRAVATA,PE,01/08/2022,"2,86%"
PACATUBA,CE,01/08/2022,"7,25%"
SERRINHA,BA,01/08/2022,"2,41%"
CANINDE,CE,01/08/2022,"1,85%"
LAJEADO,RS,01/08/2022,"1,59%"
SAO BENTO DO SUL,SC,01/08/2022,"2,50%"
ALFENAS,MG,01/08/2022,"2,88%"
GOIANA,PE,01/08/2022,"2,17%"
ALEGRETE,RS,01/08/2022,"1,92%"
NOVA SERRANA,MG,01/08/2022,"0,00%"
PONTA PORA,MS,01/08/2022,"1,20%"
PATO BRANCO,PR,01/08/2022,"3,30%"
VICOSA,MG,01/08/2022,"2,01%"
CRUZEIRO DO SUL,AC,01/08/2022,"0,00%"
SAO SEBASTIAO,SP,01/08/2022,"3,11%"
TRES CORACOES,MG,01/08/2022,"5,43%"
SAQUAREMA,RJ,01/08/2022,"5,03%"
PICOS,PI,01/08/2022,"1,54%"
LINS,SP,01/08/2022,"3,14%"
JABOTICABAL,SP,01/08/2022,"2,94%"
CURVELO,MG,01/08/2022,"3,15%"
REDENCAO,PA,01/08/2022,"2,17%"
TELEMACO BORBA,PR,01/08/2022,"5,50%"
UNAI,MG,01/08/2022,"0,83%"
CACADOR,SC,01/08/2022,"1,64%"
BELO JARDIM,PE,01/08/2022,"1,92%"
SAO FELIX DO XINGU,PA,01/08/2022,"0,00%"
CATAGUASES,MG,01/08/2022,"1,92%"
PIRASSUNUNGA,SP,01/08/2022,"3,31%"
CRATEUS,CE,01/08/2022,"2,17%"
CALDAS NOVAS,GO,01/08/2022,"2,14%"
AQUIRAZ,CE,01/08/2022,"0,00%"
RIO LARGO,AL,01/08/2022,"10,87%"
IBIUNA,SP,01/08/2022,"1,22%"
VALENCA,RJ,01/08/2022,"7,50%"
PALMEIRA DOS INDIOS,AL,01/08/2022,"5,13%"
ARCOVERDE,PE,01/08/2022,"4,62%"
QUIXERAMOBIM,CE,01/08/2022,"4,17%"
CIANORTE,PR,01/08/2022,"3,31%"
OURO PRETO,MG,01/08/2022,"2,67%"
VIANA,ES,01/08/2022,"5,43%"
CAJAMAR,SP,01/08/2022,"2,90%"
CHAPADINHA,MA,01/08/2022,"0,00%"
ARACATI,CE,01/08/2022,"5,17%"
TIANGUA,CE,01/08/2022,"0,00%"
RUSSAS,CE,01/08/2022,"1,83%"
CONCORDIA,SC,01/08/2022,"1,89%"
DIAS DAVILA,BA,01/08/2022,"6,33%"
CASTRO,PR,01/08/2022,"3,03%"
CAMBORIU,SC,01/08/2022,"5,79%"
SANTA ROSA,RS,01/08/2022,"0,00%"
ITAPIRA,SP,01/08/2022,"2,70%"
MOCOCA,SP,01/08/2022,"2,04%"
CEARA MIRIM,RN,01/08/2022,"5,88%"
MACAIBA,RN,01/08/2022,"0,00%"
VINHEDO,SP,01/08/2022,"2,80%"
FERNANDOPOLIS,SP,01/08/2022,"1,35%"
SAO SEBASTIAO DO PARAISO,MG,01/08/2022,"0,00%"
AMPARO,SP,01/08/2022,"1,82%"
FORMIGA,MG,01/08/2022,"1,20%"
CASCAVEL,CE,01/08/2022,"3,17%"
EMBU GUACU,SP,01/08/2022,"3,17%"
SOUSA,PB,01/08/2022,"6,52%"
NAVEGANTES,SC,01/08/2022,"3,65%"
VENANCIO AIRES,RS,01/08/2022,"0,00%"
FARROUPILHA,RS,01/08/2022,"3,45%"
TUPA,SP,01/08/2022,"0,00%"
SORRISO,MT,01/08/2022,"3,00%"
ESTANCIA,SE,01/08/2022,"3,90%"
ICO,CE,01/08/2022,"0,00%"
CAICO,RN,01/08/2022,"1,69%"
CRUZ ALTA,RS,01/08/2022,"7,14%"
CAMAQUA,RS,01/08/2022,"0,00%"
LENCOIS PAULISTA,SP,01/08/2022,"5,26%"
CAPANEMA,PA,01/08/2022,"2,44%"
SANTO ANTONIO DO DESCOBERTO,GO,01/08/2022,"4,48%"
OURICURI,PE,01/08/2022,"6,67%"
ESCADA,PE,01/08/2022,"14,29%"
ITAMARAJU,BA,01/08/2022,"0,00%"
BRUMADO,BA,01/08/2022,"3,85%"
PACAJUS,CE,01/08/2022,"2,63%"
PESQUEIRA,PE,01/08/2022,"4,76%"
VACARIA,RS,01/08/2022,"9,09%"
CONCEICAO DO COITE,BA,01/08/2022,"0,00%"
SAO BORJA,RS,01/08/2022,"3,70%"
RIO DO SUL,SC,01/08/2022,"2,99%"
CRUZ DAS ALMAS,BA,01/08/2022,"1,10%"
ARARANGUA,SC,01/08/2022,"2,91%"
JANUARIA,MG,01/08/2022,"3,57%"
CARAZINHO,RS,01/08/2022,"0,00%"
ITABERABA,BA,01/08/2022,"11,90%"
COSMOPOLIS,SP,01/08/2022,"0,81%"
PENAPOLIS,SP,01/08/2022,"2,50%"
GOIANESIA,GO,01/08/2022,"3,80%"
MORADA NOVA,CE,01/08/2022,"6,90%"
CAMPO BOM,RS,01/08/2022,"2,22%"
PENEDO,AL,01/08/2022,"1,75%"
CAMOCIM,CE,01/08/2022,"3,77%"
BOM JESUS DA LAPA,BA,01/08/2022,"0,00%"
PEDRO LEOPOLDO,MG,01/08/2022,"2,83%"
ROLANDIA,PR,01/08/2022,"1,72%"
BIGUACU,SC,01/08/2022,"3,50%"
UNIAO DOS PALMARES,AL,01/08/2022,"8,33%"
BEZERROS,PE,01/08/2022,"6,56%"
LUIS EDUARDO MAGALHAES,BA,01/08/2022,"1,48%"
PERUIBE,SP,01/08/2022,"2,17%"
MONTENEGRO,RS,01/08/2022,"3,81%"
PALMARES,PE,01/08/2022,"2,44%"
SURUBIM,PE,01/08/2022,"2,94%"
CIDADE OCIDENTAL,GO,01/08/2022,"2,60%"
GASPAR,SC,01/08/2022,"0,00%"
ICARA,SC,01/08/2022,"3,57%"
BATATAIS,SP,01/08/2022,"2,17%"
GRAJAU,MA,01/08/2022,"11,11%"
PONTE NOVA,MG,01/08/2022,"6,58%"
SANTO AMARO,BA,01/08/2022,"5,88%"
HORIZONTE,CE,01/08/2022,"2,78%"
ACARAU,CE,01/08/2022,"0,00%"
MORENO,PE,01/08/2022,"6,45%"
UNIAO DA VITORIA,PR,01/08/2022,"5,17%"
SANTA IZABEL DO PARA,PA,01/08/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/08/2022,"0,00%"
ANDRADINA,SP,01/08/2022,"3,51%"
BARRA DO GARCAS,MT,01/08/2022,"6,25%"
GUARABIRA,PB,01/08/2022,"6,49%"
MIRASSOL,SP,01/08/2022,"0,97%"
INDAIAL,SC,01/08/2022,"4,27%"
SALGUEIRO,PE,01/08/2022,"7,25%"
TRES PONTAS,MG,01/08/2022,"15,38%"
SAO MIGUEL DOS CAMPOS,AL,01/08/2022,"21,74%"
IRATI,PR,01/08/2022,"0,00%"
RIO BONITO,RJ,01/08/2022,"4,50%"
BARBALHA,CE,01/08/2022,"1,75%"
IBITINGA,SP,01/08/2022,"3,57%"
LAGOA SANTA,MG,01/08/2022,"3,21%"
TAQUARA,RS,01/08/2022,"3,85%"
PIRAPORA,MG,01/08/2022,"3,45%"
TAUA,CE,01/08/2022,"0,00%"
LIMOEIRO,PE,01/08/2022,"3,13%"
CABEDELO,PB,01/08/2022,"1,09%"
REGISTRO,SP,01/08/2022,"4,44%"
TIMBAUBA,PE,01/08/2022,"0,00%"
TAQUARITINGA,SP,01/08/2022,"0,00%"
CACHOEIRAS DE MACACU,RJ,01/08/2022,"0,00%"
CANOINHAS,SC,01/08/2022,"6,25%"
MARIANA,MG,01/08/2022,"3,64%"
PORTO FERREIRA,SP,01/08/2022,"2,47%"
FRUTAL,MG,01/08/2022,"3,23%"
GUAPIMIRIM,RJ,01/08/2022,"5,21%"
SAO BENTO DO UNA,PE,01/08/2022,"0,00%"
CAMPO BELO,MG,01/08/2022,"2,63%"
SAO PAULO,SP,01/09/2022,"3,86%"
RIO DE JANEIRO,RJ,01/09/2022,"4,44%"
SALVADOR,BA,01/09/2022,"4,95%"
BRASILIA,DF,01/09/2022,"2,78%"
FORTALEZA,CE,01/09/2022,"3,77%"
BELO HORIZONTE,MG,01/09/2022,"3,61%"
MANAUS,AM,01/09/2022,"4,62%"
CURITIBA,PR,01/09/2022,"2,76%"
RECIFE,PE,01/09/2022,"3,92%"
BELEM,PA,01/09/2022,"4,27%"
PORTO ALEGRE,RS,01/09/2022,"3,43%"
GOIANIA,GO,01/09/2022,"3,39%"
GUARULHOS,SP,01/09/2022,"4,24%"
CAMPINAS,SP,01/09/2022,"3,26%"
SAO LUIS,MA,01/09/2022,"3,01%"
SAO GONCALO,RJ,01/09/2022,"4,23%"
MACEIO,AL,01/09/2022,"3,82%"
DUQUE DE CAXIAS,RJ,01/09/2022,"4,99%"
NATAL,RN,01/09/2022,"3,11%"
TERESINA,PI,01/09/2022,"3,31%"
